vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
BARICHO SUB-COUNTY HOSPITAL,,140000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARIKA MEDICAL CENTRE LIMITED,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARINGO COUNTY REFERRAL HOSPITAL,,153250.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARMIL DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARMILE NURSING HOME LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARSOMBE DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARUT DISPENSARY,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BARWAQ DISPENSARY,,180000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BATALU DISPENSARY,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BATU MEDICAL CENTRE LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BAYAAN NURSING HOME,,287550.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BEACON OF HOPE CLINIC,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BEEHIVE MEDICAL SERVICES,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BEGGS NURSING HOME LIMITED-MATUNDA,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BEKAM MEDICAL NURSING CENTER,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BELLEVUE HEALTH CENTRE,,210000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BENGLAD FAMILY CARE CLINIC,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BENMAC HEALTH CLINIC,,780000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BERIL\\'S GWP MEDICAL CENTER,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BERISAMAAT MEDICAL CENTRE,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BERJANAY DISPENSARY,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BERMEIL NURSING HOME LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BESHARA STREET NURSING HOME,,210000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BESTCARE HOSPITAL LIMITED,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHANIA MEDICAL CENTRE,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHANY HILLCREST HOSPITAL LIMITED - OLOKURT O,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHANY HILLCREST HOSPITAL LTD - KIAMUNYI,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHANY HILLCREST HOSPITAL-OLPUSIMORU,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHESDA HEALTH CARE SERVICES COMPANY LIMIT E D,,1090000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHESDA NURSING HOME KARAGITA,,70000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETHLEHEM HOME HOSPITAL,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BETTER LIVING HOSPITAL,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BIBLE FAITH CHURCH MEDICAL SERVICES,,910000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BIKEKE HEALTH CENTRE,,450000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BILKHEIR NURSING HOME LIMITED,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BIRETWA MODEL HEALTH CENTRE,,220000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BIRKAN DISPENSARY,,240000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,,2106000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BISSIL HEALTH CENTRE,,840000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BISUNU DISPENSARY,,230000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BIZET MEDICAL CENTRE,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLESSED COMMUNITY MEDICAL CLINIC,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLESSED TO BLESS HEALTHCARE LIMITED,,370000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLOOM HEALTHCARE MACHAKOS,,702900.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLOOM HOSPITAL NAKURU LIMITED,,73900.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLUE NILE MKOROSHONI MEDICAL CENTRE LTD,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLUE RIDGE MEDICAL LTD,,670950.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLUE RIDGE MEDICAL - THIKA,,457950.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BLUE TURTLE MEDICAL CLINIC,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BODAKI MEDICARE LIMITED,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BODI HEALTH CENTRE,,240000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOENSUMMIT MEDICAL CENTER,,300000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOJIGARAS DISPENSARY,,280000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOJIGARSE DISPENSARY,,150000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOKIMAI DISPENSARY,,170000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOKOLE CDF HEALTH CENTER,,390000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOLOWLE DISPENSARY,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,,360000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOMET\\'S HEALTH CARE,,380000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BONDE DISPENSARY,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BONDENI HEALTH CENTRE,,260000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BONDENI SUB-COUNTY HOSPITAL,,590000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BONDO MEDICAL CENTRE,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BONDO SUB-COUNTY REFERRAL HOSPITAL,,2686720.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BORA IMANI DISPENSARY,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BORANGI HEALTH CENTRE,,140000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BORDERPOINT MEDICAL CENTER LIMITED,,490000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOREHOLE FIVE HEALTH CENTRE,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BORO DISPENSARY,,100000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BOSONGO MEDICAL CENTRE,,1659150.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BRILLIANCE CARE MEDICAL HOSPITAL,,10000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BRISTOL PARK HOSPITAL FEDHA,,233000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BRISTOL PARK HOSPITAL MACHAKOS,,116500.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BRISTOL PARK HOSPITAL-KITENGELA,,30000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BRIXTON MAKUNGA MEDICAL CLINIC,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BROTHER ANDRE HOSPITAL LTD,,770000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BROWNS MEMORIAL MEDICAL CENTRE,,990000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUCHANGU DISPENSARY,,340000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUDALANGI DISPENSARY,,310000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUGINA HEALTH CENTRE,,183000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUGUMBE HEALTH CENTRE,,60000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUHURU PONYA MEDICAL CENTRE,,320000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUKAYA HEALTH CENTRE,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUKEMBE HEALTH CENTRE,,210000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUKURA RURAL HEALTH DEMONSTRATION CENTRE,,374480.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BULLA ELMI DISPENSARY,,120000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BULLA MPYA NURSING HOME,,480000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BULONDO HEALTH CENTRE,,550000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BULWANI PRIVATE HOSPITAL LIMITED,,20000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUMALA A HEALTH CENTRE,,90000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUMALA B HEALTH CENTRE,,340000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
BUNGASI HEALTH CENTRE,,40000.0,July,2025,1,SHA_PAYMENTS_JULY_2025_1.pdf
