vendor_name,claims,amount,report_month,report_year,schedule,source_pdf
90 LIFECARE HOSPITAL LIMITED-KIKUYU,,13660733.25,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
91 AIC LITEIN HOSPITAL,,13338789.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
92 KERUGOYA MEDICAL CENTRE,,13299345.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
93 NAZARETH HOSPITAL,,13116740.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
94 PALMCARE SINAI HOSPITAL,,13111360.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
95 FOUNTAIN HEALTHCARE LIMITED,,12842800.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
96 MP SHAH HOSPITAL,,12792984.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
97 MT. LONGONOT MEDICAL SERVICES,,12648320.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
98 MARY IMMACULATE HOSPITAL MWEIGA,,12535075.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
99 ITEN COUNTY REFERRAL HOSPITAL,,12511310.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
100 KOMAROCK MODERN HEALTHCARE UTAWALA,,12415490.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
101 SUBA SUB-COUNTY HOSPITAL,,12246880.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
102 ST. ANTHONY CATHOLIC HOSPITAL,,12180920.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
103 MAKUENI COUNTY REFERRAL HOSPITAL,,12135003.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
104 NYAHURURU COUNTY REFERRAL HOSPITAL,,12082919.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
105 ROBINS HEALTHCARE LIMITED,,11957410.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
106 NANYUKI COUNTY REFERRAL HOSPITAL,,11903200.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
107 SIAYA COUNTY REFERRAL HOSPITAL,,11832120.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
108 MANDERA WELLNESS CENTRE ANNEX CO. LIMITED,,11364640.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
109 BETHESDA HEALTH CARE SERVICES COMPANY LIMITED,,11165130.69,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
110 MAXICARE SUNRISE LIMITED HOSPITAL,,11140960.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
111 SANTAMORE SPECIALIZED SURGICAL HOSPITAL LIMITED,,10967378.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
112 WESTLIFE HOSPITAL LIMITED,,10962560.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
113 BWARE COMPLEX HEALTHCARE LIMITED,,10768560.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
114 JAMII HOSPITAL KARATINA,,10691200.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
115 GOODWILL COTTAGE HOSPITAL,,10681680.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
116 BAYLEAF HEALTH CENTRE,,10646170.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
117 LIFECARE HOSPITAL MIGORI,,10555540.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
118 SOUTHRIFT HOSPITAL LIMITED,,10445182.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
119 MOMBASA CANCER CENTRE,,10398503.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
120 EYE AND U OPTHALMIC LTD,,10364400.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
121 GRAND ROYALCARE MEDICAL LIMITED,,10295360.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
122 LONDON MEDICAL &amp; DIALYSIS CENTRE LIMITED,,10208348.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
123 KAKAMEGA ORTHOPAEDIC HOSPITAL,,10116200.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
124 BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIMITED,,10033720.0,June,2025,2,SHA_PAID_FACILITIES_JUNE_2025-2.pdf
